n	tiempo
1	1e-06
2	0
3	0
4	0
5	0
6	0
7	0
8	1e-06
9	0
10	1e-06
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1e-06
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1e-06
31	0
32	0
33	0
34	0
35	1e-06
36	0
37	0
38	0
39	1e-06
40	1e-06
41	0
42	0
43	1e-06
44	0
45	0
46	0
47	0
48	0
49	0
50	1e-06
51	0
52	0
53	0
54	0
55	0
56	0
57	1e-06
58	0
59	1e-06
60	0
61	0
62	0
63	0
64	1e-06
65	0
66	0
67	1e-06
68	1e-06
69	0
70	0
71	0
72	0
73	0
74	0
75	1e-06
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	1e-06
94	0
95	0
96	0
97	1e-06
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	1e-06
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	1e-06
117	0
118	1e-06
119	0
120	1e-06
121	0
122	1e-06
123	0
124	0
125	0
126	0
127	1e-06
128	0
129	0
130	0
131	0
132	1e-06
133	1e-06
134	1e-06
135	1e-06
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	1e-06
144	0
145	1e-06
146	1e-06
147	1e-06
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	1e-06
157	0
158	0
159	0
160	0
161	0
162	0
163	1e-06
164	0
165	0
166	0
167	0
168	1e-06
169	0
170	0
171	1e-06
172	0
173	0
174	1e-06
175	0
176	0
177	1e-06
178	0
179	0
180	1e-06
181	0
182	0
183	1e-06
184	0
185	1e-06
186	0
187	1e-06
188	0
189	1e-06
190	0
191	1e-06
192	0
193	1e-06
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	1e-06
206	0
207	0
208	1e-06
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	1e-06
217	0
