n	tiempo
1	0
2	0
3	0
4	0
5	0
6	1e-06
7	0
8	0
9	2e-06
10	1e-06
11	1e-06
12	1e-06
13	1e-06
14	3e-06
15	1e-06
16	1e-06
17	2e-06
18	3e-06
19	0
20	1.2e-05
21	1e-06
22	1.4e-05
23	3e-05
24	1e-06
25	5.3e-05
26	7.7e-05
27	1.3e-05
28	2e-06
29	3e-06
30	9.9e-05
31	8.5e-05
32	0.000101
33	4e-06
34	3.1e-05
35	9e-06
36	3e-06
37	1e-06
38	0.00014
39	1.9e-05
40	6e-05
41	1e-06
42	2.5e-05
43	1e-06
44	0
45	9e-06
46	1e-06
47	0.000851
48	0.000212
49	0.000351
50	0.002516
51	8e-06
52	0.001306
53	0.000212
54	0.000404
55	0.002593
56	0.004333
57	0.000236
58	0.004433
59	0.00035
60	0.001675
61	0.001233
62	3.9e-05
63	1e-06
64	0.000362
65	0.000195
66	0.000244
67	0.002395
68	0.000585
69	0.001839
70	0.001065
71	1e-06
72	0.008443
73	0.055436
74	0.00393
75	0.000126
76	1.3e-05
77	0.008989
78	0.068284
79	7e-06
80	0.017033
81	4.4e-05
82	0.000117
83	0.09636
84	1.7e-05
85	0.000217
86	9e-06
87	0.411569
88	0.054468
89	0.34313
90	0.001544
91	0.018173
92	0.002144
93	0.37861
94	0.028112
95	0.120607
96	0.050233
97	0.270933
98	0.009718
99	0.026446
100	0.000172
101	0.00012
102	0.132848
103	0.001257
104	0.000212
105	0.031223
106	0.000189
107	0.004393
108	6.7e-05
109	0.000363
110	0.000213
111	0.000418
112	1e-05
113	2.8e-05
114	6e-06
115	2e-06
116	0.094948
117	7e-05
118	0.167381
119	0.867685
120	0.013703
121	0.000115
122	0.323064
123	0.004687
124	0.575845
125	16.4785
126	0.74815
127	0.013979
128	0.000668
129	0.511285
130	0.000258
131	0.000608
132	7e-05
133	0.000245
134	0.01848
135	0.009613
136	5.49205
137	0.021887
138	5e-06
139	0.07296
140	0.027141
141	2.5e-05
142	2e-06
